INVNRS,ONDERWERP,TERM,URI
55702,Sporthal,,
55703,Woonwagencentrum,,
55704,Archiepgebouw,,
55705,Metrostation,Metrostation,http://vocab.getty.edu/aat/300007780
55712,Metrostation,Metrostation,http://vocab.getty.edu/aat/300007780
55713,Speelplaats/speeltuin,Speelplaats/speeltuin,http://vocab.getty.edu/aat/300008203
55715,Speelplaats/speeltuin,Speelplaats/speeltuin,http://vocab.getty.edu/aat/300008203
55716,Straatmeubilair,,
55718,Speelplaats/speeltuin,Speelplaats/speeltuin,http://vocab.getty.edu/aat/300008203
55719,Straatmeubilair,,
55720,Trappen,,
55721,Speelplaats/speeltuin,Speelplaats/speeltuin,http://vocab.getty.edu/aat/300008203
55722,Straatmeubilair,,
55723,Speelplaats/speeltuin,Speelplaats/speeltuin,http://vocab.getty.edu/aat/300008203
55724,Speelplaats/speeltuin,Speelplaats/speeltuin,http://vocab.getty.edu/aat/300008203
55725,Speelplaats/speeltuin,Speelplaats/speeltuin,http://vocab.getty.edu/aat/300008203
55726,Speelplaats/speeltuin,Speelplaats/speeltuin,http://vocab.getty.edu/aat/300008203
55727,Speelplaats/speeltuin,Speelplaats/speeltuin,http://vocab.getty.edu/aat/300008203
55728,Speelplaats/speeltuin,Speelplaats/speeltuin,http://vocab.getty.edu/aat/300008203
55729,Speelplaats/speeltuin,Speelplaats/speeltuin,http://vocab.getty.edu/aat/300008203
55730,Sportpark,Sportpark,http://vocab.getty.edu/aat/300170875
55731,Speelvijver,,
55732,Speelvijver,,
55733,Volkstuincomplex,,
55734,Volkstuincomplex,,
55735,Volkstuincomplex,,
55736,Volkstuincomplex,,
55737,Speelplaats/speeltuin,Speelplaats/speeltuin,http://vocab.getty.edu/aat/300008203
55738,Speelplaats/speeltuin,Speelplaats/speeltuin,http://vocab.getty.edu/aat/300008203
55739,Speelplaats/speeltuin,Speelplaats/speeltuin,http://vocab.getty.edu/aat/300008203
55740,Grondwerk,,
55741,Grondwerk,,
55742,Grondwerk,,
